bait,prey,distance,stage
PSMD1,PSMD6,0.451703801789879,G1
PSMD10,PSMD6,0.442209641709042,G1
PSMD11,PSMD6,0.432485556201135,G1
PSMD12,PSMD6,0.531721998964656,G1
PSMD13,PSMD6,0.417096900641835,G1
PSMD14,PSMD6,0.355013366686594,G1
PSMD2,PSMD6,0.71535688575571,G1
PSMD3,PSMD6,0.366050557090266,G1
PSMD4,PSMD6,0.375606177997519,G1
PSMD5,PSMD6,0.614520539919963,G1
PSMA1,PSMD7,0.249283562539391,G1
PSMA2,PSMD7,0.279012406760312,G1
PSMA3,PSMD7,0.369778619001465,G1
PSMA4,PSMD7,0.64506116434957,G1
PSMA5,PSMD7,0.4582134404134,G1
PSMA6,PSMD7,0.438566285633558,G1
PSMA7,PSMD7,0.376746846392466,G1
PSMB1,PSMD7,0.341406380924069,G1
PSMB10,PSMD7,1.27839657759053,G1
PSMB2,PSMD7,0.470456357965374,G1
PSMB3,PSMD7,0.521870139370818,G1
PSMB4,PSMD7,0.397675963580143,G1
PSMB5,PSMD7,0.4332775012463,G1
PSMB6,PSMD7,0.368960571960876,G1
PSMB7,PSMD7,0.460868469171372,G1
PSMB9,PSMD7,0.775269148704237,G1
PSMC1,PSMD7,0.248004080568514,G1
PSMC2,PSMD7,0.3180898279099,G1
PSMC3,PSMD7,0.299414234252232,G1
PSMC4,PSMD7,0.245200597842679,G1
PSMC5,PSMD7,0.360125253984713,G1
PSMC6,PSMD7,0.475635126147318,G1
PSMD1,PSMD7,0.293653436336752,G1
PSMD10,PSMD7,0.381510438742579,G1
PSMD11,PSMD7,0.268207663276273,G1
PSMD12,PSMD7,0.666361083797292,G1
PSMD13,PSMD7,0.263814150663195,G1
PSMD14,PSMD7,0.268326042158703,G1
PSMD2,PSMD7,0.438302398495534,G1
PSMD3,PSMD7,0.208828145563566,G1
PSMD4,PSMD7,0.356332346181898,G1
PSMD5,PSMD7,0.452251929178506,G1
PSMD6,PSMD7,0.32798779978366,G1
PSMA1,PSMD8,0.398083595798991,G1
PSMA2,PSMD8,0.459589545284056,G1
PSMA3,PSMD8,0.536594223040272,G1
PSMA4,PSMD8,0.513118374056555,G1
PSMA5,PSMD8,0.30115683275939,G1
PSMA6,PSMD8,0.663322315884547,G1
PSMA7,PSMD8,0.440308880845596,G1
PSMB1,PSMD8,0.5381314034434,G1
PSMB10,PSMD8,1.49346976068183,G1
PSMB2,PSMD8,0.31058109625199,G1
PSMB3,PSMD8,0.594329490568024,G1
PSMB4,PSMD8,0.588713583339673,G1
PSMB5,PSMD8,0.618313532086164,G1
PSMB6,PSMD8,0.577680770094355,G1
PSMB7,PSMD8,0.638701386688963,G1
PSMB9,PSMD8,1.00686183831419,G1
PSMC1,PSMD8,0.546371027499579,G1
PSMC2,PSMD8,0.618780781890047,G1
PSMC3,PSMD8,0.818701091009021,G1
PSMC4,PSMD8,0.565506534548916,G1
PSMC5,PSMD8,0.605173431763295,G1
PSMC6,PSMD8,0.68165052072532,G1
PSMD1,PSMD8,0.52545608640396,G1
PSMD10,PSMD8,0.429995145004887,G1
PSMD11,PSMD8,0.620572858560045,G1
PSMD12,PSMD8,0.584375206101096,G1
PSMD13,PSMD8,0.679488557872804,G1
PSMD14,PSMD8,0.587955022777809,G1
PSMD2,PSMD8,0.813034461533832,G1
PSMD3,PSMD8,0.586566490208903,G1
PSMD4,PSMD8,0.340823594315028,G1
PSMD5,PSMD8,0.600854292153379,G1
PSMD6,PSMD8,0.353818106143128,G1
PSMD7,PSMD8,0.470326696564729,G1
PSMA1,PSMD9,0.418692982802358,G1
PSMA2,PSMD9,0.432880880598199,G1
PSMA3,PSMD9,0.523119083306422,G1
PSMA4,PSMD9,0.472476843731116,G1
PSMA5,PSMD9,0.545423483671326,G1
PSMA6,PSMD9,0.50862997595393,G1
PSMA7,PSMD9,0.434781358576893,G1
PSMB1,PSMD9,0.457938991955473,G1
PSMB10,PSMD9,1.31557567264836,G1
PSMB2,PSMD9,0.361333178295195,G1
PSMB3,PSMD9,0.513831110088542,G1
